01/22 11:16:30 PM | multilayer_inter2_capsnet_cifar10_model best accuracy=78.550 saved at: /content/drive/MyDrive/MSc_AI/Course/OCOM5300M-AI_Project/code_repository/results/train/cifar10/Trained_multilayer_inter2_capsnet_cifar10_model_Epoch11_of_30.pt
01/22 11:41:15 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(896/1563), Loss=0.2421, Top 1 Acc=66.79, Top 5 Acc=96.93
01/22 11:41:31 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(928/1563), Loss=0.2420, Top 1 Acc=66.80, Top 5 Acc=96.91
01/22 11:41:47 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(960/1563), Loss=0.2416, Top 1 Acc=66.82, Top 5 Acc=96.92
01/22 11:42:03 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(992/1563), Loss=0.2411, Top 1 Acc=66.88, Top 5 Acc=96.93
01/22 11:42:19 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1024/1563), Loss=0.2404, Top 1 Acc=66.98, Top 5 Acc=96.93
01/22 11:42:35 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1056/1563), Loss=0.2399, Top 1 Acc=67.09, Top 5 Acc=96.90
01/22 11:42:51 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1088/1563), Loss=0.2392, Top 1 Acc=67.22, Top 5 Acc=96.92
01/22 11:43:07 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1120/1563), Loss=0.2387, Top 1 Acc=67.32, Top 5 Acc=96.91
01/22 11:43:23 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1152/1563), Loss=0.2379, Top 1 Acc=67.45, Top 5 Acc=96.94
01/22 11:43:39 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1184/1563), Loss=0.2374, Top 1 Acc=67.55, Top 5 Acc=96.95
01/22 11:43:54 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1216/1563), Loss=0.2371, Top 1 Acc=67.60, Top 5 Acc=96.94
01/22 11:44:10 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1248/1563), Loss=0.2368, Top 1 Acc=67.66, Top 5 Acc=96.95
01/22 11:44:26 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1280/1563), Loss=0.2364, Top 1 Acc=67.72, Top 5 Acc=96.95
01/22 11:44:42 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1312/1563), Loss=0.2360, Top 1 Acc=67.74, Top 5 Acc=96.97
01/22 11:44:58 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1344/1563), Loss=0.2352, Top 1 Acc=67.85, Top 5 Acc=96.99
01/22 11:45:14 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1376/1563), Loss=0.2351, Top 1 Acc=67.86, Top 5 Acc=96.99
01/22 11:45:30 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1408/1563), Loss=0.2344, Top 1 Acc=67.97, Top 5 Acc=96.99
01/22 11:45:46 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1440/1563), Loss=0.2342, Top 1 Acc=68.00, Top 5 Acc=96.99
01/22 11:46:02 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1472/1563), Loss=0.2337, Top 1 Acc=68.07, Top 5 Acc=97.02
01/22 11:46:18 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1504/1563), Loss=0.2333, Top 1 Acc=68.14, Top 5 Acc=97.01
01/22 11:46:33 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=2, Iteration=(1536/1563), Loss=0.2328, Top 1 Acc=68.21, Top 5 Acc=97.02
01/22 11:47:26 PM | multilayer_inter3_capsnet_cifar10_model Validation - Loss=0.2180, Top 1 Acc=70.780, Top 5 Acc=97.020
01/22 11:47:26 PM | Epoch 2 complete. Saved Checkpoint: /content/drive/MyDrive/MSc_AI/Course/OCOM5300M-AI_Project/code_repository/results/train/cifar10/Trained_multilayer_inter3_capsnet_cifar10_model_Epoch2_of_15.pt
01/22 11:47:26 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(0/1563), Loss=0.2090, Top 1 Acc=75.00, Top 5 Acc=100.00
01/22 11:47:42 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(32/1563), Loss=0.1917, Top 1 Acc=74.43, Top 5 Acc=97.63
01/22 11:47:58 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(64/1563), Loss=0.1865, Top 1 Acc=75.58, Top 5 Acc=97.88
01/22 11:48:14 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(96/1563), Loss=0.1896, Top 1 Acc=74.68, Top 5 Acc=97.91
01/22 11:48:30 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(128/1563), Loss=0.1902, Top 1 Acc=74.69, Top 5 Acc=97.89
01/22 11:48:46 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(160/1563), Loss=0.1916, Top 1 Acc=74.55, Top 5 Acc=97.92
01/22 11:49:02 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(192/1563), Loss=0.1932, Top 1 Acc=74.47, Top 5 Acc=97.94
01/22 11:49:17 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(224/1563), Loss=0.1936, Top 1 Acc=74.40, Top 5 Acc=97.93
01/22 11:49:33 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(256/1563), Loss=0.1955, Top 1 Acc=74.04, Top 5 Acc=97.88
01/22 11:49:49 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(288/1563), Loss=0.1956, Top 1 Acc=74.23, Top 5 Acc=97.88
01/22 11:50:05 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(320/1563), Loss=0.1959, Top 1 Acc=74.12, Top 5 Acc=97.96
01/22 11:50:21 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(352/1563), Loss=0.1949, Top 1 Acc=74.30, Top 5 Acc=97.97
01/22 11:50:37 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(384/1563), Loss=0.1938, Top 1 Acc=74.59, Top 5 Acc=97.94
01/22 11:50:53 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(416/1563), Loss=0.1940, Top 1 Acc=74.60, Top 5 Acc=97.91
01/22 11:51:08 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(448/1563), Loss=0.1929, Top 1 Acc=74.76, Top 5 Acc=97.91
01/22 11:51:24 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(480/1563), Loss=0.1928, Top 1 Acc=74.79, Top 5 Acc=97.89
01/22 11:51:40 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(512/1563), Loss=0.1925, Top 1 Acc=74.90, Top 5 Acc=97.85
01/22 11:51:56 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(544/1563), Loss=0.1923, Top 1 Acc=74.87, Top 5 Acc=97.90
01/22 11:52:12 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(576/1563), Loss=0.1924, Top 1 Acc=74.79, Top 5 Acc=97.93
01/22 11:52:28 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(608/1563), Loss=0.1924, Top 1 Acc=74.77, Top 5 Acc=97.88
01/22 11:52:44 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(640/1563), Loss=0.1917, Top 1 Acc=74.82, Top 5 Acc=97.91
01/22 11:53:00 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(672/1563), Loss=0.1914, Top 1 Acc=74.87, Top 5 Acc=97.96
01/22 11:53:15 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(704/1563), Loss=0.1917, Top 1 Acc=74.82, Top 5 Acc=97.96
01/22 11:53:31 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(736/1563), Loss=0.1920, Top 1 Acc=74.74, Top 5 Acc=97.97
01/22 11:53:47 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(768/1563), Loss=0.1910, Top 1 Acc=74.86, Top 5 Acc=98.00
01/22 11:54:03 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(800/1563), Loss=0.1908, Top 1 Acc=74.85, Top 5 Acc=98.01
01/22 11:54:19 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(832/1563), Loss=0.1908, Top 1 Acc=74.85, Top 5 Acc=98.02
01/22 11:54:35 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(864/1563), Loss=0.1908, Top 1 Acc=74.84, Top 5 Acc=98.05
01/22 11:54:51 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(896/1563), Loss=0.1908, Top 1 Acc=74.82, Top 5 Acc=98.04
01/22 11:55:07 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(928/1563), Loss=0.1907, Top 1 Acc=74.81, Top 5 Acc=98.06
01/22 11:55:22 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(960/1563), Loss=0.1904, Top 1 Acc=74.81, Top 5 Acc=98.07
01/22 11:55:38 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(992/1563), Loss=0.1903, Top 1 Acc=74.82, Top 5 Acc=98.08
01/22 11:55:54 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1024/1563), Loss=0.1902, Top 1 Acc=74.83, Top 5 Acc=98.08
01/22 11:56:10 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1056/1563), Loss=0.1901, Top 1 Acc=74.82, Top 5 Acc=98.07
01/22 11:56:26 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1088/1563), Loss=0.1899, Top 1 Acc=74.86, Top 5 Acc=98.06
01/22 11:56:41 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1120/1563), Loss=0.1903, Top 1 Acc=74.81, Top 5 Acc=98.05
01/22 11:56:57 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1152/1563), Loss=0.1900, Top 1 Acc=74.83, Top 5 Acc=98.07
01/22 11:57:13 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1184/1563), Loss=0.1898, Top 1 Acc=74.87, Top 5 Acc=98.08
01/22 11:57:29 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1216/1563), Loss=0.1896, Top 1 Acc=74.90, Top 5 Acc=98.10
01/22 11:57:45 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1248/1563), Loss=0.1893, Top 1 Acc=74.96, Top 5 Acc=98.10
01/22 11:58:01 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1280/1563), Loss=0.1890, Top 1 Acc=75.01, Top 5 Acc=98.10
01/22 11:58:17 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1312/1563), Loss=0.1888, Top 1 Acc=75.07, Top 5 Acc=98.12
01/22 11:58:32 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1344/1563), Loss=0.1884, Top 1 Acc=75.13, Top 5 Acc=98.12
01/22 11:58:48 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1376/1563), Loss=0.1882, Top 1 Acc=75.14, Top 5 Acc=98.12
01/22 11:59:04 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1408/1563), Loss=0.1882, Top 1 Acc=75.11, Top 5 Acc=98.12
01/22 11:59:20 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1440/1563), Loss=0.1884, Top 1 Acc=75.06, Top 5 Acc=98.11
01/22 11:59:36 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1472/1563), Loss=0.1882, Top 1 Acc=75.09, Top 5 Acc=98.11
01/22 11:59:52 PM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1504/1563), Loss=0.1884, Top 1 Acc=75.07, Top 5 Acc=98.10
01/23 12:00:07 AM | multilayer_inter3_capsnet_cifar10_model Training - Epoch=3, Iteration=(1536/1563), Loss=0.1884, Top 1 Acc=75.08, Top 5 Acc=98.10
01/23 12:01:00 AM | multilayer_inter3_capsnet_cifar10_model Validation - Loss=0.2002, Top 1 Acc=73.310, Top 5 Acc=97.370
01/23 12:01:00 AM | Epoch 3 complete. Saved Checkpoint: /content/drive/MyDrive/MSc_AI/Course/OCOM5300M-AI_Project/code_repository/results/train/cifar10/Trained_multilayer_inter3_capsnet_cifar10_model_Epoch3_of_15.pt
